No;Classes;Text
1;GOOD;"PARIS (Reuters) -French carmaker Renault (EPA:RENA) said on Friday that ""all options are on the table"" for separating its electric vehicle (EV) business, including a possible public listing in the second half of 2023.

Thierry Piéton, Renault's finance chief, said that any plans were subject to approval from its alliance partner Nissan (OTC:NSANY), but made clear that the Japanese carmaker ""is in the loop"" as it weighs up its options.

Renault has been pushing ahead with plans to split its EV and combustion engine businesses as it seeks to catch up with rivals such as Tesla (NASDAQ:TSLA) and Volkswagen (ETR:VOWG_p).

Ford said last month that it will run its EV business separately from its legacy combustion engine operations.

The news came as Renault posted better-than-expected revenue for the first quarter, as higher prices and rising EV sales largely offset the impact of the war in Ukraine and an ongoing global shortage of semiconductors .

Renault shares were up around 1% in early trading after its results announcement.

The group, which also produces Dacia and Lada brand vehicles, said on Friday its revenue fell by 2.7% from a year earlier to 9.748 billion euros ($10.6 billion). Analysts had expected revenue of around 9.61 billion euros, according to Refinitiv estimates.

Excluding the activities of Avtovaz and Renault Russia, revenue was down 1.1% at 8.9 billion euros.

Last month, Renault said it would suspend operations at its plant in Moscow while it assesses options on its majority stake in Avtovaz, Russia's No. 1 carmaker.

On Friday, the French carmaker said talks on the future of Russian operations were ""ongoing and making progress.""

The drop in first-quarter revenue followed a 17% decline of Renault's vehicle sales to 552,000 vehicles, the lowest quarterly sales since during the height of the global financial crisis in 2009.

The company said its sales of fully-electric and hybrid vehicles rose 13% and accounted for 36% of sales. Renault said its prices were up 5.6% from the first quarter of 2021 as the carmaker pursues more profitable car sales.

In a client note J.P. Morgan analysts described this as a ""strong quarter"" for Renault.

""Renault continues to deliver on its pricing and model rationalization policy and today’s result comes in as

another step in the right direction,"" they wrote.

Renault confirmed its financial outlook laid out in March of a full-year 2022 operating margin of around 3% and said it would give a more detailed update on its targets and strategy later this year.

The global shortage of semiconductors, used in everything from brake sensors to entertainment systems, will cut Renault's planned car production by 300,000 vehicles in 2022, mostly in the first half of the year, the company said.

Renault's order book at the end of March had hit a 15-year high of 3.9 months of sales."
2;BAD;"(Reuters) - Russia may face an ""orchestrated"" default on state debt due to Western sanctions which should not be seen as a technical default, the CEO of Russia's second-largest lender VTB Andrey Kostin said in TV interview released on Friday.

As Russia teeters on the brink of a historic default, foreign investors in the country's debt have few palatable options to recover their money: bet on costly legal action, trust bilateral agreements will stand, or sit on their hands, analysts say."
3;BAD;"European stock markets traded sharply lower Friday, with investors fretting about the likelihood of slowing economic growth on the back of aggressive monetary policy tightening as well as the impact of the war in Ukraine.

By 3:55 AM ET (0755 GMT), the DAX in Germany traded 1.2% lower, the CAC 40 in France fell 1% and the U.K.’s FTSE 100 dropped 0.4%.

European markets have followed the negative lead from Wall Street and then Asia on the back of comments from Jerome Powell late Thursday, with the U.S. Federal Reserve Chairman saying a half-point interest rate increase will be ""on the table"" when the central bank meets in May.

This follows European Central Bank Vice President Luis de Guindos acknowledging the possibility of a rate increase in July, potentially the bank’s first in 12 years. 

Money markets are now pricing in 80 basis points of ECB rate hikes by the end of the year.

The world’s major central banks are looking to tighten monetary policy to combat soaring inflation, just as the war in Ukraine weighs on the outlook for global growth.

The World Bank estimated that the physical damage to Ukraine's buildings and infrastructure from Russia's invasion has reached roughly $60 billion to-date, while Ukraine’s prime minister, Denys Shmyhal, put the total cost of rebuilding the country at $600 billion.

U.K. retail sales fell 1.4% on the month in March, dropping for the third time in the last four months, with soaring fuel costs appearing to have an increasing impact on spending patterns.

In corporate news, Kering (EPA:PRTP) stock fell over 5% after reporting slowing growth at the French luxury group’s star label Gucci, weighed by Covid lockdowns in mainland China.

Anheuser Busch Inbev (EBR:ABI) stock fell 1.9% after the world's largest brewer said it will take a hit of over $1 billion on due to exiting its joint venture in Russia.

SAP (ETR:SAPG) stock fell 4.2% after the German business software group reported a 300 million euros ($325.26 million) hit due to its exit from Russia, while Renault (EPA:RENA) stock dropped 0.8% after the French auto giant, the Western carmaker most exposed to the Russian market, posted a 2.7% drop in first quarter revenues compared with a year earlier.

Oil prices weakened Friday, on course for weekly losses of around 4%, weighed by prospects of interest rate hikes and slowing global growth, while China, the world’s largest crude importer, continued to struggle with a Covid-19 outbreak.

By 3:55 AM ET, U.S. crude futures traded 0.3% lower at $103.47 a barrel, while the Brent contract fell 0.4% to $107.91. 

Additionally, gold futures rose 0.2% to $1,952.60/oz, while EUR/USD traded 0.3% lower at 1.0806."
4;BAD;"Swedish truck maker AB Volvo reported a surprise rise in first-quarter core earnings on Friday, as it juggled strong market demand with a strained supply chain that has limited its capacity to keep up with orders.

The rival of Germany's Daimler (OTC:DDAIF) Truck and Traton also said it expected supplies of components to stay unstable with more disruptions and stoppages of production expected to hamper its business.

Heavy-duty truck makers have been grappling with global shortages of components, such as semiconductors, and a lack of freight capacity since market demand began to recover from the initial pandemic shock.

Russia's invasion of Ukraine, which Moscow calls a special military operation, has further clouded the outlook for supply chains and diesel fuels, and seen Western manufacturers such as Volvo cut production and sales in Russia.

Volvo's adjusted operating profit rose to 12.68 billion Swedish crowns ($1.33 billion) from 11.82 billion a year ago, well ahead of the 10.55 billion seen by analysts in a Refinitiv poll.

The results excluded a previously announced provision related to the war in Ukraine.

Shares in the Gothenburg-based company, one of Sweden's biggest employers, rose 1.1% by 0708 GMT, to leave the stock down just over 20% so far this year, mirroring broad declines for industrial blue chips.

""Despite limited visibility in the supply chain and semi-conductor shortages still impacting the industry ... we expect consensus expectations to move higher on better than expected performance of the truck division,"" equities analysts at JP Morgan wrote in a research note.

Volvo Chief Executive Martin Lundstedt said: ""We have had extra costs due to the supply chain disruptions as well as higher costs for material and have worked proactively with price management to mitigate them,""

""We expect that the inflationary pressure will continue.""

With many input costs rising rapidly, Volvo has also sought to maintain flexibility on its own pricing, leaving it loath to take on orders with delivery too far into the future.

Adding to frustrations over the supply chain problems, which forced vehicle makers to limit output in the quarter, demand for trucks has been strong across most major markets, with the result that they have been hit with both higher costs and missed sales.

""We have large order books and delivery times are long, and this has made us restrictive with order slotting, which affected order intake negatively,"" Lundstedt said in a statement.

""We are doing everything we can to reduce the long lead times to our customers.""

Hobbled by the supply constraints, Volvo said order bookings of its trucks, sold under brands such as Mack and Renault (EPA:RENA) as well as its own name, tumbled 47% year-on-year in the first quarter, while it kept unchanged forecasts for the European and North American truck markets."
5;BAD;"AB InBev (EBR:ABI) stock fell in early trading in Europe on Friday after the world's largest brewer said it will take a hit of over $1 billion on due to exiting its joint venture in Russia.

AB InBev, the company behind Budweiser, Beck's, and Hoegaarden, said it will take a non-cash charge of $1.1 billion to write down its investment in AB InBev Efes, the Russian-based JV in which it holds a 24% stake. The brewer is currently in negotiations to sell that stake to its partner, Turkey's Efes Anadolu. AB InBev has already requested the suspension of its license to brew and sell Bud in Russia, and the company said this request ""will also be part of a potential transaction,"" without elaborating further.

Russia has been a key growth market for AB InBev over the last 20 years, although beer sales growth has flattened out in recent years as the market has become more saturated. 

By 3:50 AM ET (0750 GMT), AB InBev stock was down 2.0%, underperforming a decline of 1.4% in the Euro Stoxx 50.

AB InBev's major international rivals, Heineken (OTC:HEINY) and Carlsberg (OTC:CABGY), have already announced plans to leave the country. Carlsberg said on Thursday that it currently expects a writedown of 9.5 billion Danish kroner ($1.38 billion) on its Russia business and additional writedowns of its assets in Ukraine. It revised down its earnings guidance for 2022 as a result of the war at the same time and warned of an ongoing high level of uncertainty. The stock still rose to its highest since the start of March on relief that the news wasn't worse.

Heineken said in March it expects a charge of 400 million euros ($432 million) from its exit. International sanctions on the country since its invasion of Ukraine have limited the pool of prospective buyers, and Heineken still hasn't announced who will take over its operations. The company is nonetheless paying the wage of its 1,800 staff in the country through the end of the year."
6;NEUTRAL;" Germany's industrial heavyweights are teaming up to retrain workers in areas such as software and logistics to fill a growing skills gap and avoid layoffs among workers of all ages as the economy shifts to clean energy and online shopping.

More than 36 major companies, ranging from auto suppliers such as Continental and Bosch to industrial firms BASF and Siemens, have agreed to coordinate on redundancies at one firm and vacancies at another, training workers to move directly from job to job.

Stefan Dries worked across a range of sectors before landing a job at Deutsche Post (OTC:DPSGY) in the middle of the pandemic. While social distancing had made his work as a carer impossible, the postal service was hiring to meet online delivery demands.

Dries, 38, said he completed a 10-day intensive course on everything from using software for registering and tracking post to how to lift heavy packages and has since worked his way up from deliveries to manager of his station.

""Starting something different isn't always easy financially, personally. You have to want it,"" Dries told Reuters, adding that it is vital that companies advertise positions in a way that assures workers they will be trained on the job.

The scheme underscores Germany's long-term social market economy model, which gives more influence to labour unions as opposed to free-market capitalism focused on maximizing profits.

The costs of the initiative will be shared by the companies involved on a case-by-case basis. So if a factory closes, a dialogue will begin on what to do with its workers and then involve another company which may be seeking new skills.

Continental and Deutsche Bahn, for example, have set up a partnership to retrain staff no longer needed at the auto parts maker for jobs at the railway group, with the costs split.

""We know the social cost of unemployment, and we want to avoid that,"" Ariane Reinhart, board member responsible for human resources (HR) at Continental and chief spokesperson of the business-led initiative, told Reuters.

Reinhart, who said that she believed the scheme to be the first of its kind, pointed to data showing unemployment cost the German economy 63 billion euros ($68 billion) in 2020.

While German unemployment is relatively low, at 5% in March, there are warnings of a wave of job losses if companies do not move quickly to adapt to stringent climate targets and step up in areas like software in the face of new competitors abroad.

A study by think-tank Ifo Institute warned that 100,000 jobs linked to the internal combustion engine could be lost by 2025 if carmakers failed to transition fast enough to electric vehicles and retrain workers.

'RELIABLE EMPLOYEES'

The initiative comes as the number of open vacancies in Germany is rising steadily, from around 320,000 in 2009 to 850,000 in March this year, national statistics show.

German labour market faces growing skills gap https://graphics.reuters.com/GERMANY-COMPANIES/WORKERS/akvezyqrxpr/chart.png

Engineering, metalwork and logistics are among the sectors seeking high numbers of people in Germany, alongside care work, catering and sales.

The demand for skilled workers is coming from overseas companies too, highlighted by Tesla (NASDAQ:TSLA)'s decision to build its European electric vehicle and battery plant in the state of Brandenburg, where it will create 12,000 new jobs.

This will ramp up competition for skilled workers with rival carmakers Mercedes-Benz and Volkswagen (ETR:VOWG_p) who both have factories of their own only hours away.

Retraining across sectors and within companies is also a means of maintaining good relations with Germany's powerful unions, who often sit on company boards and have negotiated multi-year job guarantees for staff.

""Some of these people have no prospects any more in the combustion engine world,"" said Fevzi Sikar, head of the workers' council at Mercedes-Benz's Marienfelde plant, where assembly line production workers are being offered retraining in software engineering..

""But they are reliable employees, and it just makes more sense to retrain them ... the market is sucked dry.""

Sikar said Mercedes is seeing enthusiasm among younger workers who want to become more resilient by gaining new skills. While older workers faced with a job loss or change may opt to retire early, younger colleagues need a future elsewhere.

While the scheme can provide some of the skills that Germany needs, attracting talent from abroad is also essential, Thomas Ogilvie, board member in charge of HR at Deutsche Post, said.

Germany's new coalition government has pledged to make it easier for workers from abroad by enabling dual citizenship and improving access to apprenticeships.

""Leaving it to the free market is not enough – it would not be what's best for workers, or the economy,"" Reinhart said.

 Germany's industrial heavyweights are teaming up to retrain workers in areas such as software and logistics to fill a growing skills gap and avoid layoffs among workers of all ages as the economy shifts to clean energy and online shopping.

More than 36 major companies, ranging from auto suppliers such as Continental and Bosch to industrial firms BASF and Siemens, have agreed to coordinate on redundancies at one firm and vacancies at another, training workers to move directly from job to job.

Stefan Dries worked across a range of sectors before landing a job at Deutsche Post (OTC:DPSGY) in the middle of the pandemic. While social distancing had made his work as a carer impossible, the postal service was hiring to meet online delivery demands.

Dries, 38, said he completed a 10-day intensive course on everything from using software for registering and tracking post to how to lift heavy packages and has since worked his way up from deliveries to manager of his station.

""Starting something different isn't always easy financially, personally. You have to want it,"" Dries told Reuters, adding that it is vital that companies advertise positions in a way that assures workers they will be trained on the job.

The scheme underscores Germany's long-term social market economy model, which gives more influence to labour unions as opposed to free-market capitalism focused on maximizing profits.

The costs of the initiative will be shared by the companies involved on a case-by-case basis. So if a factory closes, a dialogue will begin on what to do with its workers and then involve another company which may be seeking new skills.

Continental and Deutsche Bahn, for example, have set up a partnership to retrain staff no longer needed at the auto parts maker for jobs at the railway group, with the costs split.

""We know the social cost of unemployment, and we want to avoid that,"" Ariane Reinhart, board member responsible for human resources (HR) at Continental and chief spokesperson of the business-led initiative, told Reuters.

Reinhart, who said that she believed the scheme to be the first of its kind, pointed to data showing unemployment cost the German economy 63 billion euros ($68 billion) in 2020.

While German unemployment is relatively low, at 5% in March, there are warnings of a wave of job losses if companies do not move quickly to adapt to stringent climate targets and step up in areas like software in the face of new competitors abroad.

A study by think-tank Ifo Institute warned that 100,000 jobs linked to the internal combustion engine could be lost by 2025 if carmakers failed to transition fast enough to electric vehicles and retrain workers.

'RELIABLE EMPLOYEES'

The initiative comes as the number of open vacancies in Germany is rising steadily, from around 320,000 in 2009 to 850,000 in March this year, national statistics show.

German labour market faces growing skills gap https://graphics.reuters.com/GERMANY-COMPANIES/WORKERS/akvezyqrxpr/chart.png

Engineering, metalwork and logistics are among the sectors seeking high numbers of people in Germany, alongside care work, catering and sales.

The demand for skilled workers is coming from overseas companies too, highlighted by Tesla (NASDAQ:TSLA)'s decision to build its European electric vehicle and battery plant in the state of Brandenburg, where it will create 12,000 new jobs.

This will ramp up competition for skilled workers with rival carmakers Mercedes-Benz and Volkswagen (ETR:VOWG_p) who both have factories of their own only hours away.

Retraining across sectors and within companies is also a means of maintaining good relations with Germany's powerful unions, who often sit on company boards and have negotiated multi-year job guarantees for staff.

""Some of these people have no prospects any more in the combustion engine world,"" said Fevzi Sikar, head of the workers' council at Mercedes-Benz's Marienfelde plant, where assembly line production workers are being offered retraining in software engineering..

""But they are reliable employees, and it just makes more sense to retrain them ... the market is sucked dry.""

Sikar said Mercedes is seeing enthusiasm among younger workers who want to become more resilient by gaining new skills. While older workers faced with a job loss or change may opt to retire early, younger colleagues need a future elsewhere.

While the scheme can provide some of the skills that Germany needs, attracting talent from abroad is also essential, Thomas Ogilvie, board member in charge of HR at Deutsche Post, said.

Germany's new coalition government has pledged to make it easier for workers from abroad by enabling dual citizenship and improving access to apprenticeships.

""Leaving it to the free market is not enough – it would not be what's best for workers, or the economy,"" Reinhart said.

 Germany's industrial heavyweights are teaming up to retrain workers in areas such as software and logistics to fill a growing skills gap and avoid layoffs among workers of all ages as the economy shifts to clean energy and online shopping.

More than 36 major companies, ranging from auto suppliers such as Continental and Bosch to industrial firms BASF and Siemens, have agreed to coordinate on redundancies at one firm and vacancies at another, training workers to move directly from job to job.

Stefan Dries worked across a range of sectors before landing a job at Deutsche Post (OTC:DPSGY) in the middle of the pandemic. While social distancing had made his work as a carer impossible, the postal service was hiring to meet online delivery demands.

Dries, 38, said he completed a 10-day intensive course on everything from using software for registering and tracking post to how to lift heavy packages and has since worked his way up from deliveries to manager of his station.

""Starting something different isn't always easy financially, personally. You have to want it,"" Dries told Reuters, adding that it is vital that companies advertise positions in a way that assures workers they will be trained on the job.

The scheme underscores Germany's long-term social market economy model, which gives more influence to labour unions as opposed to free-market capitalism focused on maximizing profits.

The costs of the initiative will be shared by the companies involved on a case-by-case basis. So if a factory closes, a dialogue will begin on what to do with its workers and then involve another company which may be seeking new skills.

Continental and Deutsche Bahn, for example, have set up a partnership to retrain staff no longer needed at the auto parts maker for jobs at the railway group, with the costs split.

""We know the social cost of unemployment, and we want to avoid that,"" Ariane Reinhart, board member responsible for human resources (HR) at Continental and chief spokesperson of the business-led initiative, told Reuters.

Reinhart, who said that she believed the scheme to be the first of its kind, pointed to data showing unemployment cost the German economy 63 billion euros ($68 billion) in 2020.

While German unemployment is relatively low, at 5% in March, there are warnings of a wave of job losses if companies do not move quickly to adapt to stringent climate targets and step up in areas like software in the face of new competitors abroad.

A study by think-tank Ifo Institute warned that 100,000 jobs linked to the internal combustion engine could be lost by 2025 if carmakers failed to transition fast enough to electric vehicles and retrain workers.

'RELIABLE EMPLOYEES'

The initiative comes as the number of open vacancies in Germany is rising steadily, from around 320,000 in 2009 to 850,000 in March this year, national statistics show.

German labour market faces growing skills gap https://graphics.reuters.com/GERMANY-COMPANIES/WORKERS/akvezyqrxpr/chart.png

Engineering, metalwork and logistics are among the sectors seeking high numbers of people in Germany, alongside care work, catering and sales.

The demand for skilled workers is coming from overseas companies too, highlighted by Tesla (NASDAQ:TSLA)'s decision to build its European electric vehicle and battery plant in the state of Brandenburg, where it will create 12,000 new jobs.

This will ramp up competition for skilled workers with rival carmakers Mercedes-Benz and Volkswagen (ETR:VOWG_p) who both have factories of their own only hours away.

Retraining across sectors and within companies is also a means of maintaining good relations with Germany's powerful unions, who often sit on company boards and have negotiated multi-year job guarantees for staff.

""Some of these people have no prospects any more in the combustion engine world,"" said Fevzi Sikar, head of the workers' council at Mercedes-Benz's Marienfelde plant, where assembly line production workers are being offered retraining in software engineering..

""But they are reliable employees, and it just makes more sense to retrain them ... the market is sucked dry.""

Sikar said Mercedes is seeing enthusiasm among younger workers who want to become more resilient by gaining new skills. While older workers faced with a job loss or change may opt to retire early, younger colleagues need a future elsewhere.

While the scheme can provide some of the skills that Germany needs, attracting talent from abroad is also essential, Thomas Ogilvie, board member in charge of HR at Deutsche Post, said.

Germany's new coalition government has pledged to make it easier for workers from abroad by enabling dual citizenship and improving access to apprenticeships.

""Leaving it to the free market is not enough – it would not be what's best for workers, or the economy,"" Reinhart said.
 Germany's industrial heavyweights are teaming up to retrain workers in areas such as software and logistics to fill a growing skills gap and avoid layoffs among workers of all ages as the economy shifts to clean energy and online shopping.

More than 36 major companies, ranging from auto suppliers such as Continental and Bosch to industrial firms BASF and Siemens, have agreed to coordinate on redundancies at one firm and vacancies at another, training workers to move directly from job to job.

Stefan Dries worked across a range of sectors before landing a job at Deutsche Post (OTC:DPSGY) in the middle of the pandemic. While social distancing had made his work as a carer impossible, the postal service was hiring to meet online delivery demands.

Dries, 38, said he completed a 10-day intensive course on everything from using software for registering and tracking post to how to lift heavy packages and has since worked his way up from deliveries to manager of his station.

""Starting something different isn't always easy financially, personally. You have to want it,"" Dries told Reuters, adding that it is vital that companies advertise positions in a way that assures workers they will be trained on the job.

The scheme underscores Germany's long-term social market economy model, which gives more influence to labour unions as opposed to free-market capitalism focused on maximizing profits.

The costs of the initiative will be shared by the companies involved on a case-by-case basis. So if a factory closes, a dialogue will begin on what to do with its workers and then involve another company which may be seeking new skills.

Continental and Deutsche Bahn, for example, have set up a partnership to retrain staff no longer needed at the auto parts maker for jobs at the railway group, with the costs split.

""We know the social cost of unemployment, and we want to avoid that,"" Ariane Reinhart, board member responsible for human resources (HR) at Continental and chief spokesperson of the business-led initiative, told Reuters.

Reinhart, who said that she believed the scheme to be the first of its kind, pointed to data showing unemployment cost the German economy 63 billion euros ($68 billion) in 2020.

While German unemployment is relatively low, at 5% in March, there are warnings of a wave of job losses if companies do not move quickly to adapt to stringent climate targets and step up in areas like software in the face of new competitors abroad.

A study by think-tank Ifo Institute warned that 100,000 jobs linked to the internal combustion engine could be lost by 2025 if carmakers failed to transition fast enough to electric vehicles and retrain workers.

'RELIABLE EMPLOYEES'

The initiative comes as the number of open vacancies in Germany is rising steadily, from around 320,000 in 2009 to 850,000 in March this year, national statistics show.

German labour market faces growing skills gap https://graphics.reuters.com/GERMANY-COMPANIES/WORKERS/akvezyqrxpr/chart.png

Engineering, metalwork and logistics are among the sectors seeking high numbers of people in Germany, alongside care work, catering and sales.

The demand for skilled workers is coming from overseas companies too, highlighted by Tesla (NASDAQ:TSLA)'s decision to build its European electric vehicle and battery plant in the state of Brandenburg, where it will create 12,000 new jobs.

This will ramp up competition for skilled workers with rival carmakers Mercedes-Benz and Volkswagen (ETR:VOWG_p) who both have factories of their own only hours away.

Retraining across sectors and within companies is also a means of maintaining good relations with Germany's powerful unions, who often sit on company boards and have negotiated multi-year job guarantees for staff.

""Some of these people have no prospects any more in the combustion engine world,"" said Fevzi Sikar, head of the workers' council at Mercedes-Benz's Marienfelde plant, where assembly line production workers are being offered retraining in software engineering..

""But they are reliable employees, and it just makes more sense to retrain them ... the market is sucked dry.""

Sikar said Mercedes is seeing enthusiasm among younger workers who want to become more resilient by gaining new skills. While older workers faced with a job loss or change may opt to retire early, younger colleagues need a future elsewhere.

While the scheme can provide some of the skills that Germany needs, attracting talent from abroad is also essential, Thomas Ogilvie, board member in charge of HR at Deutsche Post, said.

Germany's new coalition government has pledged to make it easier for workers from abroad by enabling dual citizenship and improving access to apprenticeships.

""Leaving it to the free market is not enough – it would not be what's best for workers, or the economy,"" Reinhart said.

"
7;BAD;"An Australian court ordered Westpac Banking (NYSE:WBK) Corp to pay A$113 million ($82.92 million) in penalties for multiple compliance failures across its businesses, after hearing the last of the six cases filed against it by the country's corporate watchdog.

The Federal Court fined Westpac A$40 million for one of the six cases, related to charging advice fees to over 11,800 deceased customers in the latest hearing, the Australian Securities and Investments Commission (ASIC) said on Friday. It was the biggest fine of all the six cases.

ASIC's legal actions that were initiated in November include the lender's compliance failures across its banking, superannuation, wealth management and insurance business over many years.

Australia's financial sector has faced intense scrutiny since a Royal Commission inquiry in 2018 found widespread shortcomings across the industry, with charging the dead among the most common and damaging revelations.

""Over the course of 13 years, more than 70,000 customers have been affected by these failures, either by being incorrectly charged or given the wrong information,"" ASIC Deputy Chair Sarah Court said https://

Westpac said it acknowledged the court hearing of all six civil penalty proceedings commenced by ASIC and the penalty amount that was previously disclosed.

""These penalties have been substantially provisioned (together with anticipated legal costs) in Westpac's full-year 2021 results,"" the bank said."
8;GOOD;"Swiss elevator and escalator maker Schindler reported on Friday a drop in first-quarter net profit, but beat the company's consensus forecast, despite supply chain woes, cost inflation, lockdowns and market contraction in China.

Net profit of 144 million Swiss francs ($151.07 million) was below the year-earlier figure of 213 million, but beat the forecast of 137.4 million francs made by analysts in a company-compiled consensus."
9;GOOD;"Swedish defence products company Saab will boost capacity to meet rising demand, it said on Friday after posting an increase in first-quarter profit and strong order intake.

Shares in Saab have soared 65% this year as a growing number of countries announce increased defence budgets as a result of intensifying geopolitical tensions and the conflict in Ukraine.

Saab, maker of the Gripen fighter jet and a range of military and civilian hardware, said that quarterly order intake grew 38% to 8.1 billion crowns.

The company added that it expects further supply chain challenges across the industry and would work to mitigate shortages and ensure delivery of components.

""To meet a further demand, we will also steadily increase capacity,"" CEO Micael Johansson said in a statement.

Saab posted first-quarter operating profit of 654 million Swedish crowns ($68.8 million), up from 597 million a year earlier.

The company maintained its full-year forecast of 5% organic sales growth and operating profit growth between 8% and 12%."
10;BAD;China sales fell in March following a surge in COVID-19 cases in the country and related lockdowns. The country's race to stop the pandemic is clogging highways and ports, stranding workers and shutting countless factories, disruptions that are rippling through global supply chains.
